Time    X    Y    Z
71.05   351.4680    516.6880    -2300.2099    
71.61   351.4680    516.6880    -2303.2351    
72.18   351.4680    516.6880    -2301.4201    
72.74   351.4680    516.6880    -2302.0251    
73.30   351.4680    513.6840    -2302.0251    
73.87   351.4680    516.6880    -2301.4201    
74.43   351.4680    516.6880    -2302.6301    
75.00   351.4680    516.6880    -2300.8151    
75.56   351.4680    516.6880    -2300.8151    
76.12   354.4720    516.6880    -2302.6301    
76.69   354.4720    516.6880    -2302.0251    
77.25   351.4680    516.6880    -2303.2351    
77.82   351.4680    516.6880    -2303.2351    
78.38   354.4720    519.6920    -2302.6301    
78.94   351.4680    519.6920    -2302.0251    
79.51   354.4720    516.6880    -2303.2351    
80.07   354.4720    519.6920    -2302.6301    
80.63   354.4720    516.6880    -2302.6301    
81.20   351.4680    516.6880    -2303.2351    
81.76   351.4680    516.6880    -2302.6301    
82.33   351.4680    516.6880    -2300.8151    
82.89   351.4680    516.6880    -2301.4201    
83.45   351.4680    516.6880    -2302.0251    
84.02   351.4680    516.6880    -2302.0251    
84.58   351.4680    516.6880    -2303.2351    
85.14   351.4680    516.6880    -2302.0251    
85.71   351.4680    516.6880    -2302.6301    
86.27   351.4680    516.6880    -2300.2099    
86.84   351.4680    516.6880    -2302.6301    
87.40   351.4680    516.6880    -2302.0251    
87.96   351.4680    516.6880    -2302.0251    
88.53   351.4680    519.6920    -2303.2351    
89.09   354.4720    516.6880    -2300.8151    
89.66   351.4680    516.6880    -2299.6049    
90.22   354.4720    516.6880    -2302.0251    
90.78   354.4720    516.6880    -2301.4201    
91.35   354.4720    516.6880    -2301.4201    
91.91   354.4720    519.6920    -2302.0251    
92.48   351.4680    516.6880    -2302.6301    
93.04   351.4680    516.6880    -2303.2351    
93.61   351.4680    516.6880    -2302.6301    
94.17   351.4680    516.6880    -2303.2351    
94.73   351.4680    516.6880    -2302.0251    
95.30   351.4680    516.6880    -2303.8400    
95.86   351.4680    516.6880    -2300.2099    
96.42   351.4680    516.6880    -2302.6301    
96.99   351.4680    516.6880    -2302.0251    
97.55   351.4680    516.6880    -2302.6301    
98.11   351.4680    516.6880    -2302.6301    
98.68   351.4680    516.6880    -2302.0251    
99.24   351.4680    516.6880    -2302.0251    
99.81   351.4680    516.6880    -2302.6301    
100.37  351.4680    516.6880    -2302.6301    
100.93  351.4680    516.6880    -2303.8400    
101.50  351.4680    516.6880    -2302.0251    
102.06  351.4680    516.6880    -2303.2351    
102.63  351.4680    516.6880    -2302.0251    
103.19  351.4680    516.6880    -2302.6301    
103.75  351.4680    516.6880    -2302.6301    
104.32  351.4680    516.6880    -2303.2351    
104.88  351.4680    516.6880    -2303.8400    
105.45  351.4680    516.6880    -2302.6301    
106.01  351.4680    516.6880    -2304.4450    
106.57  351.4680    516.6880    -2303.8400    
107.14  351.4680    516.6880    -2301.4201    
107.70  351.4680    516.6880    -2303.2351    
108.27  351.4680    516.6880    -2303.2351    
108.83  354.4720    516.6880    -2304.4450    
109.39  354.4720    516.6880    -2303.8400    
109.96  351.4680    516.6880    -2303.8400    
110.52  351.4680    516.6880    -2305.0500    
111.09  351.4680    516.6880    -2305.0500    
111.65  354.4720    516.6880    -2304.4450    
112.21  354.4720    516.6880    -2305.0500    
112.78  351.4680    516.6880    -2305.0500    
113.34  354.4720    516.6880    -2305.0500    
113.91  351.4680    516.6880    -2303.2351    
114.47  351.4680    516.6880    -2303.8400    
115.03  351.4680    516.6880    -2305.6550    
115.60  351.4680    516.6880    -2305.0500    
116.16  351.4680    516.6880    -2304.4450    
116.72  351.4680    516.6880    -2302.6301    
117.29  351.4680    516.6880    -2303.8400    
117.85  351.4680    516.6880    -2303.8400    
118.42  351.4680    516.6880    -2303.8400    
118.98  351.4680    516.6880    -2303.8400    
119.55  351.4680    516.6880    -2303.8400    
120.11  351.4680    516.6880    -2303.8400    
120.67  354.4720    516.6880    -2303.8400    
121.24  351.4680    516.6880    -2303.8400    
121.80  351.4680    516.6880    -2305.0500    
122.37  351.4680    516.6880    -2304.4450    
122.93  351.4680    516.6880    -2304.4450    
123.49  351.4680    516.6880    -2303.2351    
124.06  351.4680    516.6880    -2304.4450    
124.62  351.4680    516.6880    -2305.0500    
125.18  351.4680    516.6880    -2304.4450    
125.75  351.4680    516.6880    -2304.4450    
126.31  354.4720    516.6880    -2305.6550    
126.88  354.4720    516.6880    -2305.6550    
127.44  351.4680    516.6880    -2306.2600    
128.01  351.4680    516.6880    -2306.2600    
128.57  351.4680    516.6880    -2305.6550    
129.13  354.4720    516.6880    -2307.4699    
129.70  354.4720    516.6880    -2306.2600    
130.26  354.4720    516.6880    -2305.6550    
130.83  351.4680    516.6880    -2306.8649    
131.39  354.4720    519.6920    -2305.6550    
131.95  354.4720    516.6880    -2305.0500    
132.52  354.4720    516.6880    -2306.8649    
133.08  351.4680    516.6880    -2305.6550    
133.64  351.4680    519.6920    -2306.2600    
134.21  354.4720    516.6880    -2306.8649    
134.77  351.4680    516.6880    -2306.2600    
135.34  354.4720    516.6880    -2306.2600    
135.90  354.4720    516.6880    -2307.4699    
136.46  354.4720    516.6880    -2306.2600    
137.03  351.4680    516.6880    -2306.2600    
137.59  351.4680    516.6880    -2308.6801    
138.16  354.4720    519.6920    -2308.0749    
138.72  354.4720    516.6880    -2308.0749    
139.28  351.4680    516.6880    -2308.0749    
139.85  351.4680    516.6880    -2306.2600    
140.41  354.4720    519.6920    -2305.6550    
140.98  351.4680    516.6880    -2306.8649    
141.54  351.4680    516.6880    -2305.0500    
142.10  354.4720    516.6880    -2306.2600    
142.67  354.4720    516.6880    -2306.8649    
143.23  351.4680    516.6880    -2306.8649    
143.80  351.4680    516.6880    -2305.6550    
144.36  354.4720    516.6880    -2306.2600    
144.92  354.4720    519.6920    -2306.2600    
145.49  351.4680    516.6880    -2306.8649    
146.05  351.4680    516.6880    -2308.0749    
146.62  351.4680    516.6880    -2306.8649    
147.18  354.4720    516.6880    -2306.8649    
147.74  354.4720    516.6880    -2308.0749    
148.31  354.4720    516.6880    -2306.8649    
148.87  351.4680    519.6920    -2306.2600    
149.44  354.4720    516.6880    -2307.4699    
150.00  351.4680    516.6880    -2305.6550    
150.56  354.4720    519.6920    -2306.8649    
151.13  354.4720    519.6920    -2306.8649    
151.69  354.4720    516.6880    -2308.0749    
152.26  351.4680    516.6880    -2308.0749    
152.82  351.4680    519.6920    -2306.8649    
153.38  354.4720    516.6880    -2308.6801    
153.95  354.4720    516.6880    -2307.4699    
154.51  354.4720    516.6880    -2306.8649    
155.08  351.4680    516.6880    -2307.4699    
155.64  354.4720    519.6920    -2306.2600    
156.20  354.4720    516.6880    -2308.0749    
156.77  354.4720    516.6880    -2308.6801    
157.33  354.4720    516.6880    -2308.0749    
157.89  351.4680    516.6880    -2308.6801    
158.46  354.4720    516.6880    -2308.0749    
159.02  354.4720    519.6920    -2308.0749    
159.59  354.4720    516.6880    -2308.0749    
160.15  354.4720    519.6920    -2309.2851    
160.71  354.4720    519.6920    -2308.0749    
161.28  354.4720    516.6880    -2307.4699    
161.84  354.4720    519.6920    -2310.4951    
162.41  354.4720    516.6880    -2308.0749    
162.97  354.4720    519.6920    -2308.6801    
163.54  354.4720    516.6880    -2308.0749    
164.10  354.4720    516.6880    -2308.0749    
164.66  354.4720    516.6880    -2308.6801    
165.23  354.4720    519.6920    -2308.0749    
165.79  351.4680    516.6880    -2308.0749    
166.35  351.4680    516.6880    -2309.2851    
166.92  354.4720    519.6920    -2306.2600    
167.48  354.4720    519.6920    -2309.2851    
168.05  354.4720    516.6880    -2307.4699    
168.61  351.4680    516.6880    -2308.6801    
169.17  351.4680    519.6920    -2308.6801    
169.74  354.4720    519.6920    -2309.8901    
170.30  354.4720    519.6920    -2308.0749    
170.87  354.4720    516.6880    -2308.0749    
171.43  351.4680    519.6920    -2309.2851    
171.99  354.4720    516.6880    -2308.0749    
172.56  351.4680    519.6920    -2308.0749    
173.12  354.4720    516.6880    -2307.4699    
173.69  354.4720    519.6920    -2308.6801    
174.25  354.4720    516.6880    -2308.6801    
174.81  354.4720    519.6920    -2309.2851    
175.38  351.4680    519.6920    -2308.0749    
175.94  354.4720    516.6880    -2309.8901    
176.51  354.4720    516.6880    -2310.4951    
177.07  354.4720    516.6880    -2309.8901    
177.63  351.4680    516.6880    -2309.2851    
178.20  354.4720    519.6920    -2310.4951    
178.76  354.4720    519.6920    -2309.8901    
179.33  354.4720    519.6920    -2309.8901    
179.89  354.4720    516.6880    -2311.7050    
180.45  354.4720    519.6920    -2312.3100    
181.02  354.4720    519.6920    -2312.9150    
181.58  354.4720    519.6920    -2311.1000    
182.15  354.4720    519.6920    -2310.4951    
182.71  354.4720    519.6920    -2311.1000    
183.27  354.4720    519.6920    -2310.4951    
183.84  354.4720    519.6920    -2312.3100    
184.40  354.4720    519.6920    -2312.3100    
184.97  354.4720    519.6920    -2310.4951    
185.53  354.4720    519.6920    -2310.4951    
186.09  354.4720    519.6920    -2311.7050    
186.66  354.4720    519.6920    -2312.9150    
187.22  354.4720    519.6920    -2311.7050    
187.79  354.4720    516.6880    -2312.3100    
188.35  354.4720    519.6920    -2312.3100    
188.91  354.4720    519.6920    -2311.7050    
189.48  354.4720    519.6920    -2312.3100    
190.04  354.4720    519.6920    -2311.7050    
190.60  354.4720    519.6920    -2312.3100    
191.17  354.4720    516.6880    -2312.9150    
191.73  354.4720    519.6920    -2311.7050    
192.30  354.4720    516.6880    -2311.7050    
192.86  351.4680    519.6920    -2311.7050    
193.42  354.4720    519.6920    -2312.3100    
193.99  351.4680    519.6920    -2311.1000    
194.55  354.4720    519.6920    -2310.4951    
195.12  354.4720    516.6880    -2311.1000    
195.68  354.4720    519.6920    -2309.8901    
196.24  354.4720    519.6920    -2311.1000    
196.81  354.4720    519.6920    -2311.1000    
197.37  354.4720    519.6920    -2311.1000    
197.94  354.4720    519.6920    -2312.3100    
198.50  354.4720    519.6920    -2310.4951    
199.06  354.4720    519.6920    -2311.1000    
199.63  354.4720    519.6920    -2312.3100    
200.19  354.4720    519.6920    -2312.3100    
200.76  351.4680    519.6920    -2312.3100    
201.32  354.4720    519.6920    -2311.1000    
201.88  354.4720    519.6920    -2312.3100    
202.45  351.4680    519.6920    -2312.3100    
203.01  354.4720    516.6880    -2311.7050    
203.58  354.4720    519.6920    -2311.7050    
204.14  354.4720    519.6920    -2311.7050    
204.70  354.4720    519.6920    -2311.1000    
205.27  354.4720    519.6920    -2314.7299    
205.83  354.4720    519.6920    -2314.1250    
206.40  354.4720    519.6920    -2313.5200    
206.96  354.4720    516.6880    -2312.3100    
207.52  354.4720    519.6920    -2312.9150    
208.09  354.4720    519.6920    -2312.9150    
208.65  354.4720    519.6920    -2313.5200    
209.22  354.4720    519.6920    -2313.5200    
209.78  354.4720    519.6920    -2312.9150    
210.34  354.4720    519.6920    -2314.7299    
210.91  354.4720    519.6920    -2314.1250    
211.47  354.4720    519.6920    -2312.3100    
212.03  354.4720    519.6920    -2313.5200    
212.60  354.4720    519.6920    -2313.5200    
213.16  354.4720    519.6920    -2312.9150    
213.73  354.4720    519.6920    -2314.7299    
214.29  354.4720    519.6920    -2313.5200    
214.85  354.4720    519.6920    -2314.7299    
215.42  354.4720    519.6920    -2314.7299    
215.98  354.4720    519.6920    -2314.1250    
216.55  354.4720    519.6920    -2314.1250    
217.11  354.4720    519.6920    -2313.5200    
217.67  354.4720    519.6920    -2314.1250    
218.24  354.4720    519.6920    -2314.1250    
218.80  354.4720    519.6920    -2312.3100    
219.37  354.4720    519.6920    -2313.5200    
219.93  354.4720    519.6920    -2314.1250    
220.49  354.4720    519.6920    -2313.5200    
221.06  354.4720    519.6920    -2312.9150    
221.62  354.4720    519.6920    -2312.3100    
